"Date","Month","Year","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-03-10,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-11,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-12,3,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-13,3,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-14,3,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-15,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-16,3,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-17,3,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-18,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-19,3,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-20,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-21,3,2017,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-22,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-23,3,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-24,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-25,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-26,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-27,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-28,3,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-29,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-30,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-31,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-01,4,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-02,4,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-03,4,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-04,4,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-05,4,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-06,4,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-07,4,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-08,4,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-09,4,2017,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-10,4,2017,58,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-11,4,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-12,4,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-13,4,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-14,4,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-15,4,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-16,4,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-17,4,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-18,4,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-19,4,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-20,4,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-21,4,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-22,4,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-23,4,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-24,4,2017,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-25,4,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-26,4,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-27,4,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-28,4,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-29,4,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-30,4,2017,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-01,5,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-02,5,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-03,5,2017,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-04,5,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-05,5,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-06,5,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-07,5,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-08,5,2017,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-09,5,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-10,5,2017,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-11,5,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-12,5,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-13,5,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-14,5,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-15,5,2017,71,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-16,5,2017,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-17,5,2017,58,"Blackstone","Ozone","Lee",35.4325,-79.2887
